NR_CANDIDATO,IDADE,N_Declarou,Menor10K,10kA100K,100kA1000K,Maior1000K,DS_GENERO_FEMININO,DS_GENERO_MASCULINO,DS_COR_RACA_AMARELA,DS_COR_RACA_BRANCA,DS_COR_RACA_INDï¿½GENA,DS_COR_RACA_Nï¿½O INFORMADO,DS_COR_RACA_PARDA,DS_COR_RACA_PRETA,DS_CARGO_DEPUTADO ESTADUAL,DS_CARGO_DEPUTADO FEDERAL,DS_ESTADO_CIVIL_CASADO(A),DS_ESTADO_CIVIL_DIVORCIADO(A),DS_ESTADO_CIVIL_SEPARADO(A) JUDICIALMENTE,DS_ESTADO_CIVIL_SOLTEIRO(A),DS_ESTADO_CIVIL_VIï¿½VO(A),QT_VOTOS
30789,41,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,77.0
20170,51,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,3.0
33193,43,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,452.0
19300,53,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1.0
15007,59,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1.0
45123,55,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,11.0
11101,37,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,7.0
40123,56,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,27.0
22789,70,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,5.0
43000,69,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,17.0
77107,25,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0
22000,27,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,317.0
22400,50,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,20.0
51200,35,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,176.0
44410,65,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,2.0
30130,46,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,5.0
